County,Type of School,Year,Statistic,Value
Limerick County,Vocational schools,2014,Schools providing Second Level Education  (Number),8
Limerick County,Vocational schools,2014,Pupils receiving Second Level Education (Number),5296
Limerick County,Vocational schools,2015,Schools providing Second Level Education  (Number),8
Limerick County,Vocational schools,2015,Pupils receiving Second Level Education (Number),5185
Limerick County,Vocational schools,2016,Schools providing Second Level Education  (Number),8
Limerick County,Vocational schools,2016,Pupils receiving Second Level Education (Number),5134
Limerick County,Vocational schools,2017,Schools providing Second Level Education  (Number),8
Limerick County,Vocational schools,2017,Pupils receiving Second Level Education (Number),4913
Limerick County,Vocational schools,2018,Schools providing Second Level Education  (Number),n/a
Limerick County,Vocational schools,2018,Pupils receiving Second Level Education (Number),n/a
Limerick County,Vocational schools,2019,Schools providing Second Level Education  (Number),8
Limerick County,Vocational schools,2019,Pupils receiving Second Level Education (Number),4745
Limerick County,Vocational schools,2020,Schools providing Second Level Education  (Number),8
Limerick County,Vocational schools,2020,Pupils receiving Second Level Education (Number),4789
Limerick County,Community schools,2000,Schools providing Second Level Education  (Number),2
Limerick County,Community schools,2000,Pupils receiving Second Level Education (Number),1214
Limerick County,Community schools,2001,Schools providing Second Level Education  (Number),2
Limerick County,Community schools,2001,Pupils receiving Second Level Education (Number),1109
Limerick County,Community schools,2002,Schools providing Second Level Education  (Number),2
Limerick County,Community schools,2002,Pupils receiving Second Level Education (Number),1012
Limerick County,Community schools,2003,Schools providing Second Level Education  (Number),2
Limerick County,Community schools,2003,Pupils receiving Second Level Education (Number),1037
Limerick County,Community schools,2004,Schools providing Second Level Education  (Number),1
Limerick County,Community schools,2004,Pupils receiving Second Level Education (Number),691
Limerick County,Community schools,2005,Schools providing Second Level Education  (Number),1
Limerick County,Community schools,2005,Pupils receiving Second Level Education (Number),655
Limerick County,Community schools,2006,Schools providing Second Level Education  (Number),1
Limerick County,Community schools,2006,Pupils receiving Second Level Education (Number),667
Limerick County,Community schools,2007,Schools providing Second Level Education  (Number),1
Limerick County,Community schools,2007,Pupils receiving Second Level Education (Number),675
Limerick County,Community schools,2008,Schools providing Second Level Education  (Number),1
Limerick County,Community schools,2008,Pupils receiving Second Level Education (Number),672
Limerick County,Community schools,2009,Schools providing Second Level Education  (Number),1
Limerick County,Community schools,2009,Pupils receiving Second Level Education (Number),674
Limerick County,Community schools,2010,Schools providing Second Level Education  (Number),1
Limerick County,Community schools,2010,Pupils receiving Second Level Education (Number),689
Limerick County,Community schools,2011,Schools providing Second Level Education  (Number),1
Limerick County,Community schools,2011,Pupils receiving Second Level Education (Number),799
Limerick County,Community schools,2012,Schools providing Second Level Education  (Number),1
Limerick County,Community schools,2012,Pupils receiving Second Level Education (Number),857
Limerick County,Community schools,2013,Schools providing Second Level Education  (Number),1
Limerick County,Community schools,2013,Pupils receiving Second Level Education (Number),900
Limerick County,Community schools,2014,Schools providing Second Level Education  (Number),1
Limerick County,Community schools,2014,Pupils receiving Second Level Education (Number),923
Limerick County,Community schools,2015,Schools providing Second Level Education  (Number),1
Limerick County,Community schools,2015,Pupils receiving Second Level Education (Number),956
Limerick County,Community schools,2016,Schools providing Second Level Education  (Number),1
Limerick County,Community schools,2016,Pupils receiving Second Level Education (Number),959
Limerick County,Community schools,2017,Schools providing Second Level Education  (Number),1
Limerick County,Community schools,2017,Pupils receiving Second Level Education (Number),1007
Limerick County,Community schools,2018,Schools providing Second Level Education  (Number),n/a
Limerick County,Community schools,2018,Pupils receiving Second Level Education (Number),n/a
Limerick County,Community schools,2019,Schools providing Second Level Education  (Number),1
Limerick County,Community schools,2019,Pupils receiving Second Level Education (Number),1052
Limerick County,Community schools,2020,Schools providing Second Level Education  (Number),1
Limerick County,Community schools,2020,Pupils receiving Second Level Education (Number),1095
Limerick County,Comprehensive schools,2000,Schools providing Second Level Education  (Number),n/a
Limerick County,Comprehensive schools,2000,Pupils receiving Second Level Education (Number),n/a
Limerick County,Comprehensive schools,2001,Schools providing Second Level Education  (Number),n/a
Limerick County,Comprehensive schools,2001,Pupils receiving Second Level Education (Number),n/a
Limerick County,Comprehensive schools,2002,Schools providing Second Level Education  (Number),n/a
Limerick County,Comprehensive schools,2002,Pupils receiving Second Level Education (Number),n/a
Limerick County,Comprehensive schools,2003,Schools providing Second Level Education  (Number),n/a
Limerick County,Comprehensive schools,2003,Pupils receiving Second Level Education (Number),n/a
Limerick County,Comprehensive schools,2004,Schools providing Second Level Education  (Number),n/a
Limerick County,Comprehensive schools,2004,Pupils receiving Second Level Education (Number),n/a
Limerick County,Comprehensive schools,2005,Schools providing Second Level Education  (Number),n/a
Limerick County,Comprehensive schools,2005,Pupils receiving Second Level Education (Number),n/a
Limerick County,Comprehensive schools,2006,Schools providing Second Level Education  (Number),1
Limerick County,Comprehensive schools,2006,Pupils receiving Second Level Education (Number),842
Limerick County,Comprehensive schools,2007,Schools providing Second Level Education  (Number),1
Limerick County,Comprehensive schools,2007,Pupils receiving Second Level Education (Number),847
Limerick County,Comprehensive schools,2008,Schools providing Second Level Education  (Number),1
Limerick County,Comprehensive schools,2008,Pupils receiving Second Level Education (Number),866
Limerick County,Comprehensive schools,2009,Schools providing Second Level Education  (Number),1
Limerick County,Comprehensive schools,2009,Pupils receiving Second Level Education (Number),861
Limerick County,Comprehensive schools,2010,Schools providing Second Level Education  (Number),n/a
Limerick County,Comprehensive schools,2010,Pupils receiving Second Level Education (Number),n/a
Limerick County,Comprehensive schools,2011,Schools providing Second Level Education  (Number),n/a
Limerick County,Comprehensive schools,2011,Pupils receiving Second Level Education (Number),n/a
Limerick County,Comprehensive schools,2012,Schools providing Second Level Education  (Number),n/a
Limerick County,Comprehensive schools,2012,Pupils receiving Second Level Education (Number),n/a
Limerick County,Comprehensive schools,2013,Schools providing Second Level Education  (Number),n/a
Limerick County,Comprehensive schools,2013,Pupils receiving Second Level Education (Number),n/a
Limerick County,Comprehensive schools,2014,Schools providing Second Level Education  (Number),n/a
Limerick County,Comprehensive schools,2014,Pupils receiving Second Level Education (Number),n/a
Limerick County,Comprehensive schools,2015,Schools providing Second Level Education  (Number),n/a
Limerick County,Comprehensive schools,2015,Pupils receiving Second Level Education (Number),n/a
Limerick County,Comprehensive schools,2016,Schools providing Second Level Education  (Number),n/a
Limerick County,Comprehensive schools,2016,Pupils receiving Second Level Education (Number),n/a
Limerick County,Comprehensive schools,2017,Schools providing Second Level Education  (Number),n/a
Limerick County,Comprehensive schools,2017,Pupils receiving Second Level Education (Number),n/a
Limerick County,Comprehensive schools,2018,Schools providing Second Level Education  (Number),n/a
Limerick County,Comprehensive schools,2018,Pupils receiving Second Level Education (Number),n/a
Limerick County,Comprehensive schools,2019,Schools providing Second Level Education  (Number),n/a
Limerick County,Comprehensive schools,2019,Pupils receiving Second Level Education (Number),n/a
Limerick County,Comprehensive schools,2020,Schools providing Second Level Education  (Number),n/a
Limerick County,Comprehensive schools,2020,Pupils receiving Second Level Education (Number),n/a
Tipperary,Second level education institutions aided by the Department of Education and Skills,2000,Schools providing Second Level Education  (Number),32
Tipperary,Second level education institutions aided by the Department of Education and Skills,2000,Pupils receiving Second Level Education (Number),14708
Tipperary,Second level education institutions aided by the Department of Education and Skills,2001,Schools providing Second Level Education  (Number),32
Tipperary,Second level education institutions aided by the Department of Education and Skills,2001,Pupils receiving Second Level Education (Number),14143
Tipperary,Second level education institutions aided by the Department of Education and Skills,2002,Schools providing Second Level Education  (Number),32
Tipperary,Second level education institutions aided by the Department of Education and Skills,2002,Pupils receiving Second Level Education (Number),13817
Tipperary,Second level education institutions aided by the Department of Education and Skills,2003,Schools providing Second Level Education  (Number),32
Tipperary,Second level education institutions aided by the Department of Education and Skills,2003,Pupils receiving Second Level Education (Number),13597
Tipperary,Second level education institutions aided by the Department of Education and Skills,2004,Schools providing Second Level Education  (Number),32
Tipperary,Second level education institutions aided by the Department of Education and Skills,2004,Pupils receiving Second Level Education (Number),13500
Tipperary,Second level education institutions aided by the Department of Education and Skills,2005,Schools providing Second Level Education  (Number),31
Tipperary,Second level education institutions aided by the Department of Education and Skills,2005,Pupils receiving Second Level Education (Number),13162
Tipperary,Second level education institutions aided by the Department of Education and Skills,2006,Schools providing Second Level Education  (Number),31
Tipperary,Second level education institutions aided by the Department of Education and Skills,2006,Pupils receiving Second Level Education (Number),12969
Tipperary,Second level education institutions aided by the Department of Education and Skills,2007,Schools providing Second Level Education  (Number),31
Tipperary,Second level education institutions aided by the Department of Education and Skills,2007,Pupils receiving Second Level Education (Number),12969
Tipperary,Second level education institutions aided by the Department of Education and Skills,2008,Schools providing Second Level Education  (Number),31
Tipperary,Second level education institutions aided by the Department of Education and Skills,2008,Pupils receiving Second Level Education (Number),13157
Tipperary,Second level education institutions aided by the Department of Education and Skills,2009,Schools providing Second Level Education  (Number),31
Tipperary,Second level education institutions aided by the Department of Education and Skills,2009,Pupils receiving Second Level Education (Number),13311
Tipperary,Second level education institutions aided by the Department of Education and Skills,2010,Schools providing Second Level Education  (Number),31
Tipperary,Second level education institutions aided by the Department of Education and Skills,2010,Pupils receiving Second Level Education (Number),13546
Tipperary,Second level education institutions aided by the Department of Education and Skills,2011,Schools providing Second Level Education  (Number),31
Tipperary,Second level education institutions aided by the Department of Education and Skills,2011,Pupils receiving Second Level Education (Number),13724
Tipperary,Second level education institutions aided by the Department of Education and Skills,2012,Schools providing Second Level Education  (Number),31
Tipperary,Second level education institutions aided by the Department of Education and Skills,2012,Pupils receiving Second Level Education (Number),13762
Tipperary,Second level education institutions aided by the Department of Education and Skills,2013,Schools providing Second Level Education  (Number),31
Tipperary,Second level education institutions aided by the Department of Education and Skills,2013,Pupils receiving Second Level Education (Number),13937
Tipperary,Second level education institutions aided by the Department of Education and Skills,2014,Schools providing Second Level Education  (Number),31
Tipperary,Second level education institutions aided by the Department of Education and Skills,2014,Pupils receiving Second Level Education (Number),13973
Tipperary,Second level education institutions aided by the Department of Education and Skills,2015,Schools providing Second Level Education  (Number),31
Tipperary,Second level education institutions aided by the Department of Education and Skills,2015,Pupils receiving Second Level Education (Number),14042
Tipperary,Second level education institutions aided by the Department of Education and Skills,2016,Schools providing Second Level Education  (Number),31
Tipperary,Second level education institutions aided by the Department of Education and Skills,2016,Pupils receiving Second Level Education (Number),14083
Tipperary,Second level education institutions aided by the Department of Education and Skills,2017,Schools providing Second Level Education  (Number),30
Tipperary,Second level education institutions aided by the Department of Education and Skills,2017,Pupils receiving Second Level Education (Number),13293
Tipperary,Second level education institutions aided by the Department of Education and Skills,2018,Schools providing Second Level Education  (Number),30
Tipperary,Second level education institutions aided by the Department of Education and Skills,2018,Pupils receiving Second Level Education (Number),13503
Tipperary,Second level education institutions aided by the Department of Education and Skills,2019,Schools providing Second Level Education  (Number),30
Tipperary,Second level education institutions aided by the Department of Education and Skills,2019,Pupils receiving Second Level Education (Number),13550
Tipperary,Second level education institutions aided by the Department of Education and Skills,2020,Schools providing Second Level Education  (Number),30
Tipperary,Second level education institutions aided by the Department of Education and Skills,2020,Pupils receiving Second Level Education (Number),13789
Tipperary,Secondary schools,2000,Schools providing Second Level Education  (Number),19
Tipperary,Secondary schools,2000,Pupils receiving Second Level Education (Number),8910
Tipperary,Secondary schools,2001,Schools providing Second Level Education  (Number),19
Tipperary,Secondary schools,2001,Pupils receiving Second Level Education (Number),8679
Tipperary,Secondary schools,2002,Schools providing Second Level Education  (Number),19
Tipperary,Secondary schools,2002,Pupils receiving Second Level Education (Number),8576
Tipperary,Secondary schools,2003,Schools providing Second Level Education  (Number),19
Tipperary,Secondary schools,2003,Pupils receiving Second Level Education (Number),8498
Tipperary,Secondary schools,2004,Schools providing Second Level Education  (Number),19
Tipperary,Secondary schools,2004,Pupils receiving Second Level Education (Number),8368
Tipperary,Secondary schools,2005,Schools providing Second Level Education  (Number),19
Tipperary,Secondary schools,2005,Pupils receiving Second Level Education (Number),8192
Tipperary,Secondary schools,2006,Schools providing Second Level Education  (Number),19
Tipperary,Secondary schools,2006,Pupils receiving Second Level Education (Number),8001
Tipperary,Secondary schools,2007,Schools providing Second Level Education  (Number),19
Tipperary,Secondary schools,2007,Pupils receiving Second Level Education (Number),7970
Tipperary,Secondary schools,2008,Schools providing Second Level Education  (Number),19
Tipperary,Secondary schools,2008,Pupils receiving Second Level Education (Number),8142
Tipperary,Secondary schools,2009,Schools providing Second Level Education  (Number),19
Tipperary,Secondary schools,2009,Pupils receiving Second Level Education (Number),8235
Tipperary,Secondary schools,2010,Schools providing Second Level Education  (Number),19
Tipperary,Secondary schools,2010,Pupils receiving Second Level Education (Number),8317
Tipperary,Secondary schools,2011,Schools providing Second Level Education  (Number),19
Tipperary,Secondary schools,2011,Pupils receiving Second Level Education (Number),8443
Tipperary,Secondary schools,2012,Schools providing Second Level Education  (Number),19
Tipperary,Secondary schools,2012,Pupils receiving Second Level Education (Number),8542
Tipperary,Secondary schools,2013,Schools providing Second Level Education  (Number),19
Tipperary,Secondary schools,2013,Pupils receiving Second Level Education (Number),8625
Tipperary,Secondary schools,2014,Schools providing Second Level Education  (Number),19
Tipperary,Secondary schools,2014,Pupils receiving Second Level Education (Number),8683
Tipperary,Secondary schools,2015,Schools providing Second Level Education  (Number),19
Tipperary,Secondary schools,2015,Pupils receiving Second Level Education (Number),8732
Tipperary,Secondary schools,2016,Schools providing Second Level Education  (Number),19
Tipperary,Secondary schools,2016,Pupils receiving Second Level Education (Number),8664
Tipperary,Secondary schools,2017,Schools providing Second Level Education  (Number),19
Tipperary,Secondary schools,2017,Pupils receiving Second Level Education (Number),8632
Tipperary,Secondary schools,2018,Schools providing Second Level Education  (Number),19
Tipperary,Secondary schools,2018,Pupils receiving Second Level Education (Number),8677
Tipperary,Secondary schools,2019,Schools providing Second Level Education  (Number),19
Tipperary,Secondary schools,2019,Pupils receiving Second Level Education (Number),8523
Tipperary,Secondary schools,2020,Schools providing Second Level Education  (Number),19
Tipperary,Secondary schools,2020,Pupils receiving Second Level Education (Number),8637
Tipperary,Vocational schools,2000,Schools providing Second Level Education  (Number),12
Tipperary,Vocational schools,2000,Pupils receiving Second Level Education (Number),4973
Tipperary,Vocational schools,2001,Schools providing Second Level Education  (Number),12
Tipperary,Vocational schools,2001,Pupils receiving Second Level Education (Number),4663
Tipperary,Vocational schools,2002,Schools providing Second Level Education  (Number),12
Tipperary,Vocational schools,2002,Pupils receiving Second Level Education (Number),4435
Tipperary,Vocational schools,2003,Schools providing Second Level Education  (Number),12
Tipperary,Vocational schools,2003,Pupils receiving Second Level Education (Number),4279
Tipperary,Vocational schools,2004,Schools providing Second Level Education  (Number),12
Tipperary,Vocational schools,2004,Pupils receiving Second Level Education (Number),4302
Tipperary,Vocational schools,2005,Schools providing Second Level Education  (Number),11
Tipperary,Vocational schools,2005,Pupils receiving Second Level Education (Number),4156
Tipperary,Vocational schools,2006,Schools providing Second Level Education  (Number),11
Tipperary,Vocational schools,2006,Pupils receiving Second Level Education (Number),4157
Tipperary,Vocational schools,2007,Schools providing Second Level Education  (Number),11
Tipperary,Vocational schools,2007,Pupils receiving Second Level Education (Number),4184
Tipperary,Vocational schools,2008,Schools providing Second Level Education  (Number),11
Tipperary,Vocational schools,2008,Pupils receiving Second Level Education (Number),4225
Tipperary,Vocational schools,2009,Schools providing Second Level Education  (Number),11
Tipperary,Vocational schools,2009,Pupils receiving Second Level Education (Number),4296
Tipperary,Vocational schools,2010,Schools providing Second Level Education  (Number),11
Tipperary,Vocational schools,2010,Pupils receiving Second Level Education (Number),4459
Tipperary,Vocational schools,2011,Schools providing Second Level Education  (Number),11
Tipperary,Vocational schools,2011,Pupils receiving Second Level Education (Number),4504
Tipperary,Vocational schools,2012,Schools providing Second Level Education  (Number),11
Tipperary,Vocational schools,2012,Pupils receiving Second Level Education (Number),4462
Tipperary,Vocational schools,2013,Schools providing Second Level Education  (Number),11
Tipperary,Vocational schools,2013,Pupils receiving Second Level Education (Number),4533
Tipperary,Vocational schools,2014,Schools providing Second Level Education  (Number),11
Tipperary,Vocational schools,2014,Pupils receiving Second Level Education (Number),4487
Tipperary,Vocational schools,2015,Schools providing Second Level Education  (Number),11
Tipperary,Vocational schools,2015,Pupils receiving Second Level Education (Number),4488
Tipperary,Vocational schools,2016,Schools providing Second Level Education  (Number),11
Tipperary,Vocational schools,2016,Pupils receiving Second Level Education (Number),4588
Tipperary,Vocational schools,2017,Schools providing Second Level Education  (Number),10
Tipperary,Vocational schools,2017,Pupils receiving Second Level Education (Number),3834
Tipperary,Vocational schools,2018,Schools providing Second Level Education  (Number),10
Tipperary,Vocational schools,2018,Pupils receiving Second Level Education (Number),3988
Tipperary,Vocational schools,2019,Schools providing Second Level Education  (Number),10
Tipperary,Vocational schools,2019,Pupils receiving Second Level Education (Number),4169
Tipperary,Vocational schools,2020,Schools providing Second Level Education  (Number),10
Tipperary,Vocational schools,2020,Pupils receiving Second Level Education (Number),4300
Tipperary,Community schools,2000,Schools providing Second Level Education  (Number),1
Tipperary,Community schools,2000,Pupils receiving Second Level Education (Number),825
Tipperary,Community schools,2001,Schools providing Second Level Education  (Number),1
Tipperary,Community schools,2001,Pupils receiving Second Level Education (Number),801
Tipperary,Community schools,2002,Schools providing Second Level Education  (Number),1
Tipperary,Community schools,2002,Pupils receiving Second Level Education (Number),806
Tipperary,Community schools,2003,Schools providing Second Level Education  (Number),1
Tipperary,Community schools,2003,Pupils receiving Second Level Education (Number),820
Tipperary,Community schools,2004,Schools providing Second Level Education  (Number),1
Tipperary,Community schools,2004,Pupils receiving Second Level Education (Number),830
Tipperary,Community schools,2005,Schools providing Second Level Education  (Number),1
Tipperary,Community schools,2005,Pupils receiving Second Level Education (Number),814
Tipperary,Community schools,2006,Schools providing Second Level Education  (Number),1
Tipperary,Community schools,2006,Pupils receiving Second Level Education (Number),811
Tipperary,Community schools,2007,Schools providing Second Level Education  (Number),1
Tipperary,Community schools,2007,Pupils receiving Second Level Education (Number),815
Tipperary,Community schools,2008,Schools providing Second Level Education  (Number),1
Tipperary,Community schools,2008,Pupils receiving Second Level Education (Number),790
Tipperary,Community schools,2009,Schools providing Second Level Education  (Number),1
Tipperary,Community schools,2009,Pupils receiving Second Level Education (Number),780
Tipperary,Community schools,2010,Schools providing Second Level Education  (Number),1
Tipperary,Community schools,2010,Pupils receiving Second Level Education (Number),770
Tipperary,Community schools,2011,Schools providing Second Level Education  (Number),1
Tipperary,Community schools,2011,Pupils receiving Second Level Education (Number),777
Tipperary,Community schools,2012,Schools providing Second Level Education  (Number),1
Tipperary,Community schools,2012,Pupils receiving Second Level Education (Number),758
Tipperary,Community schools,2013,Schools providing Second Level Education  (Number),1
Tipperary,Community schools,2013,Pupils receiving Second Level Education (Number),779
Tipperary,Community schools,2014,Schools providing Second Level Education  (Number),1
Tipperary,Community schools,2014,Pupils receiving Second Level Education (Number),803
Tipperary,Community schools,2015,Schools providing Second Level Education  (Number),1
Tipperary,Community schools,2015,Pupils receiving Second Level Education (Number),822
Tipperary,Community schools,2016,Schools providing Second Level Education  (Number),1
Tipperary,Community schools,2016,Pupils receiving Second Level Education (Number),831
Tipperary,Community schools,2017,Schools providing Second Level Education  (Number),1
Tipperary,Community schools,2017,Pupils receiving Second Level Education (Number),827
Tipperary,Community schools,2018,Schools providing Second Level Education  (Number),1
Tipperary,Community schools,2018,Pupils receiving Second Level Education (Number),838
Tipperary,Community schools,2019,Schools providing Second Level Education  (Number),1
Tipperary,Community schools,2019,Pupils receiving Second Level Education (Number),858
Tipperary,Community schools,2020,Schools providing Second Level Education  (Number),1
Tipperary,Community schools,2020,Pupils receiving Second Level Education (Number),852
Tipperary,Comprehensive schools,2000,Schools providing Second Level Education  (Number),n/a
Tipperary,Comprehensive schools,2000,Pupils receiving Second Level Education (Number),n/a
Tipperary,Comprehensive schools,2001,Schools providing Second Level Education  (Number),n/a
Tipperary,Comprehensive schools,2001,Pupils receiving Second Level Education (Number),n/a
Tipperary,Comprehensive schools,2002,Schools providing Second Level Education  (Number),n/a
Tipperary,Comprehensive schools,2002,Pupils receiving Second Level Education (Number),n/a
Tipperary,Comprehensive schools,2003,Schools providing Second Level Education  (Number),n/a
Tipperary,Comprehensive schools,2003,Pupils receiving Second Level Education (Number),n/a
Tipperary,Comprehensive schools,2004,Schools providing Second Level Education  (Number),n/a
Tipperary,Comprehensive schools,2004,Pupils receiving Second Level Education (Number),n/a
Tipperary,Comprehensive schools,2005,Schools providing Second Level Education  (Number),n/a
Tipperary,Comprehensive schools,2005,Pupils receiving Second Level Education (Number),n/a
Tipperary,Comprehensive schools,2006,Schools providing Second Level Education  (Number),n/a
Tipperary,Comprehensive schools,2006,Pupils receiving Second Level Education (Number),n/a
Tipperary,Comprehensive schools,2007,Schools providing Second Level Education  (Number),n/a
Tipperary,Comprehensive schools,2007,Pupils receiving Second Level Education (Number),n/a
Tipperary,Comprehensive schools,2008,Schools providing Second Level Education  (Number),n/a
Tipperary,Comprehensive schools,2008,Pupils receiving Second Level Education (Number),n/a
Tipperary,Comprehensive schools,2009,Schools providing Second Level Education  (Number),n/a
Tipperary,Comprehensive schools,2009,Pupils receiving Second Level Education (Number),n/a
Tipperary,Comprehensive schools,2010,Schools providing Second Level Education  (Number),n/a
Tipperary,Comprehensive schools,2010,Pupils receiving Second Level Education (Number),n/a
Tipperary,Comprehensive schools,2011,Schools providing Second Level Education  (Number),n/a
Tipperary,Comprehensive schools,2011,Pupils receiving Second Level Education (Number),n/a
Tipperary,Comprehensive schools,2012,Schools providing Second Level Education  (Number),n/a
Tipperary,Comprehensive schools,2012,Pupils receiving Second Level Education (Number),n/a
Tipperary,Comprehensive schools,2013,Schools providing Second Level Education  (Number),n/a
Tipperary,Comprehensive schools,2013,Pupils receiving Second Level Education (Number),n/a
Tipperary,Comprehensive schools,2014,Schools providing Second Level Education  (Number),n/a
Tipperary,Comprehensive schools,2014,Pupils receiving Second Level Education (Number),n/a
Tipperary,Comprehensive schools,2015,Schools providing Second Level Education  (Number),n/a
Tipperary,Comprehensive schools,2015,Pupils receiving Second Level Education (Number),n/a
Tipperary,Comprehensive schools,2016,Schools providing Second Level Education  (Number),n/a
Tipperary,Comprehensive schools,2016,Pupils receiving Second Level Education (Number),n/a
Tipperary,Comprehensive schools,2017,Schools providing Second Level Education  (Number),n/a
Tipperary,Comprehensive schools,2017,Pupils receiving Second Level Education (Number),n/a
Tipperary,Comprehensive schools,2018,Schools providing Second Level Education  (Number),n/a
Tipperary,Comprehensive schools,2018,Pupils receiving Second Level Education (Number),n/a
Tipperary,Comprehensive schools,2019,Schools providing Second Level Education  (Number),n/a
Tipperary,Comprehensive schools,2019,Pupils receiving Second Level Education (Number),n/a
Tipperary,Comprehensive schools,2020,Schools providing Second Level Education  (Number),n/a
Tipperary,Comprehensive schools,2020,Pupils receiving Second Level Education (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2000,Schools providing Second Level Education  (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2000,Pupils receiving Second Level Education (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2001,Schools providing Second Level Education  (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2001,Pupils receiving Second Level Education (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2002,Schools providing Second Level Education  (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2002,Pupils receiving Second Level Education (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2003,Schools providing Second Level Education  (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2003,Pupils receiving Second Level Education (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2004,Schools providing Second Level Education  (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2004,Pupils receiving Second Level Education (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2005,Schools providing Second Level Education  (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2005,Pupils receiving Second Level Education (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2006,Schools providing Second Level Education  (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2006,Pupils receiving Second Level Education (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2007,Schools providing Second Level Education  (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2007,Pupils receiving Second Level Education (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2008,Schools providing Second Level Education  (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2008,Pupils receiving Second Level Education (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2009,Schools providing Second Level Education  (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2009,Pupils receiving Second Level Education (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2010,Schools providing Second Level Education  (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2010,Pupils receiving Second Level Education (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2011,Schools providing Second Level Education  (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2011,Pupils receiving Second Level Education (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2012,Schools providing Second Level Education  (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2012,Pupils receiving Second Level Education (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2013,Schools providing Second Level Education  (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2013,Pupils receiving Second Level Education (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2014,Schools providing Second Level Education  (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2014,Pupils receiving Second Level Education (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2015,Schools providing Second Level Education  (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2015,Pupils receiving Second Level Education (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2016,Schools providing Second Level Education  (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2016,Pupils receiving Second Level Education (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2017,Schools providing Second Level Education  (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2017,Pupils receiving Second Level Education (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2018,Schools providing Second Level Education  (Number),17
Waterford,Second level education institutions aided by the Department of Education and Skills,2018,Pupils receiving Second Level Education (Number),9035
Waterford,Second level education institutions aided by the Department of Education and Skills,2019,Schools providing Second Level Education  (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2019,Pupils receiving Second Level Education (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2020,Schools providing Second Level Education  (Number),n/a
Waterford,Second level education institutions aided by the Department of Education and Skills,2020,Pupils receiving Second Level Education (Number),n/a
Waterford,Secondary schools,2000,Schools providing Second Level Education  (Number),n/a
Waterford,Secondary schools,2000,Pupils receiving Second Level Education (Number),n/a
Waterford,Secondary schools,2001,Schools providing Second Level Education  (Number),n/a
Waterford,Secondary schools,2001,Pupils receiving Second Level Education (Number),n/a
Waterford,Secondary schools,2002,Schools providing Second Level Education  (Number),n/a
Waterford,Secondary schools,2002,Pupils receiving Second Level Education (Number),n/a
Waterford,Secondary schools,2003,Schools providing Second Level Education  (Number),n/a
Waterford,Secondary schools,2003,Pupils receiving Second Level Education (Number),n/a
Waterford,Secondary schools,2004,Schools providing Second Level Education  (Number),n/a
Waterford,Secondary schools,2004,Pupils receiving Second Level Education (Number),n/a
Waterford,Secondary schools,2005,Schools providing Second Level Education  (Number),n/a
Waterford,Secondary schools,2005,Pupils receiving Second Level Education (Number),n/a
